,x,y,xKlay,yKlay,xKorver,yKorver,xKobe,yKobe
180,439.75,418.375,347.125,142.125,319.5,151.875,,
181,433.25,403.75,340.625,134,322.75,140.5,,
182,421.875,385.875,324.375,117.75,361.75,137.25,,
183,418.625,374.5,304.875,112.875,361.75,137.25,,
184,412.125,355,298.375,111.25,360.125,156.75,,
185,408.875,327.375,288.625,101.5,358.5,194.125,,
186,441.375,312.75,282.125,96.625,356.875,194.125,,
187,444.625,309.5,267.5,96.625,356.875,247.75,,
188,423.5,307.875,256.125,104.75,361.75,325.75,,
189,410.5,303,270.75,125.875,376.375,304.625,,
190,395.875,306.25,290.25,135.625,397.5,309.5,,
191,382.875,322.5,314.625,147,373.125,254.25,,
192,392.625,358.25,319.5,150.25,355.25,189.25,,
193,397.5,369.625,327.625,160,295.125,161.625,,
194,399.125,389.125,350.375,179.5,283.75,116.125,,
195,400.75,403.75,365,181.125,254.5,88.5,,
196,400.75,418.375,387.75,186,304.875,91.75,,
197,395.875,434.625,394.25,195.75,322.75,134,,
198,392.625,449.25,387.75,207.125,337.375,164.875,,
199,392.625,468.75,389.375,212,361.75,207.125,,
200,397.5,475.25,397.5,251,373.125,179.5,,
201,408.875,473.625,404,267.25,347.125,150.25,,
202,417,462.25,404,293.25,347.125,150.25,,
203,431.625,452.5,404,325.75,330.875,130.75,,
204,426.75,437.875,376.375,291.625,287,82,,
205,423.5,411.875,371.5,281.875,287,82,,
206,433.25,395.625,374.75,73.875,280.5,90.125,,
207,439.75,374.5,350.375,96.625,278.875,122.625,,
208,439.75,353.375,329.25,121,291.875,148.625,,
209,417,348.5,330.875,140.5,291.875,134,,
210,400.75,345.25,342.25,161.625,288.625,132.375,,
211,405.625,327.375,347.125,169.75,262.625,121,,
212,431.625,309.5,358.5,192.5,235,91.75,,
213,410.5,307.875,378,208.75,199.25,80.375,,
214,389.375,301.375,384.5,215.25,194.375,60.875,,
215,399.125,353.375,365,173,222,57.625,,
216,400.75,374.5,352,153.5,254.5,104.75,,
217,402.375,389.125,334.125,137.25,291.875,135.625,,
218,402.375,415.125,314.625,124.25,317.875,182.75,,
219,374.75,260.75,295.125,119.375,335.75,208.75,,
220,369.875,249.375,287,111.25,343.875,233.125,,
221,360.125,238,280.5,93.375,378,291.625,,
222,353.625,231.5,275.625,80.375,355.25,225,,
223,342.25,213.625,280.5,78.75,158.625,56,,
224,335.75,208.75,267.5,72.25,127.75,49.5,,
225,335.75,202.25,239.875,69,93.625,44.625,,
226,335.75,195.75,231.75,85.25,70.875,46.25,,
227,335.75,182.75,252.875,101.5,62.75,47.875,,
228,332.5,158.375,275.625,108,59.5,41.375,,
229,316.25,137.25,339,147,59.5,38.125,,
230,285.375,130.75,348.75,158.375,59.5,38.125,,
231,282.125,129.125,368.25,189.25,75.75,26.75,,
232,270.75,106.375,387.75,226.625,56.25,26.75,,
233,261,96.625,384.5,238,70.875,41.375,,
234,246.375,83.625,379.625,252.625,62.75,41.375,,
235,220.375,77.125,369.875,244.5,57.875,31.625,,
236,202.5,75.5,376.375,259.125,80.625,34.875,,
237,184.625,69,384.5,281.875,111.5,34.875,,
238,181.375,54.375,371.5,254.25,135.875,38.125,,
239,200.875,49.5,352,200.625,118,39.75,,
240,215.5,54.375,339,177.875,92,39.75,,
241,230.125,67.375,321.125,160,85.5,41.375,,
242,241.5,78.75,319.5,140.5,69.25,46.25,,
243,252.875,90.125,339,127.5,69.25,46.25,,
244,261,96.625,326,117.75,147.25,49.5,,
245,270.75,101.5,137.5,51.125,171.625,59.25,,
246,291.875,112.875,101.75,41.375,202.5,59.25,,
247,309.75,125.875,75.75,44.625,109.875,18.625,,
248,329.25,137.25,64.375,56,171.625,38.125,,
249,332.5,140.5,53,38.125,135.875,39.75,,
250,339,150.25,51.375,30,113.125,39.75,,
251,342.25,148.625,77.375,28.375,72.5,39.75,,
252,348.75,179.5,90.375,28.375,35.125,39.75,,
253,363.375,192.5,83.875,33.25,61.125,39.75,,
254,373.125,213.625,79,39.75,131,30,,
255,381.25,231.5,77.375,41.375,,,,
256,384.5,244.5,72.5,44.625,,,,
257,374.75,207.125,64.375,44.625,,,,
258,365,186,64.375,44.625,,,,
259,350.375,168.125,59.5,36.5,,,,
260,340.625,145.375,59.5,28.375,,,,
261,322.75,137.25,64.375,25.125,,,,
262,316.25,135.625,77.375,30,,,,
263,316.25,135.625,100.125,30,,,,
264,313,130.75,96.875,33.25,,,,
265,309.75,127.5,83.875,38.125,,,,
266,308.125,121,79,41.375,,,,
267,329.25,65.75,77.375,43,,,,
268,353.625,127.5,75.75,43,,,,
269,368.25,195.75,66,39.75,,,,
270,392.625,241.25,54.625,46.25,,,,
271,404,286.75,59.5,44.625,,,,
272,404,316,59.5,38.125,,,,
273,379.625,303,62.75,34.875,,,,
274,365,262.375,82.25,39.75,,,,
275,361.75,238,100.125,44.625,,,,
276,339,203.875,116.375,46.25,,,,
277,324.375,190.875,142.375,46.25,,,,
278,313,171.375,147.25,46.25,,,,
279,295.125,137.25,118,38.125,,,,
280,275.625,119.375,114.75,38.125,,,,
281,249.625,109.625,105,36.5,,,,
282,238.25,101.5,100.125,44.625,,,,
283,223.625,86.875,93.625,46.25,,,,
284,209,82,82.25,46.25,,,,
285,184.625,75.5,75.75,39.75,,,,
286,184.625,73.875,87.125,39.75,,,,
287,187.875,70.625,98.5,39.75,,,,
288,230.125,43,106.625,34.875,,,,
289,431.625,216.875,106.625,36.5,,,,
290,417,73.875,111.5,36.5,,,,
291,350.375,80.375,75.75,34.875,,,,
292,278.875,70.625,77.375,43,,,,
293,275.625,103.125,74.125,47.875,,,,
294,309.75,117.75,69.25,47.875,,,,
295,330.875,127.5,57.875,34.875,,,,
296,356.875,148.625,,,,,,
297,379.625,179.5,,,,,,
298,391,195.75,,,,,,
299,399.125,238,,,,,,
300,410.5,252.625,,,,,,
301,417,268.875,,,,,,
302,415.375,280.25,,,,,,
303,407.25,283.5,,,,,,
304,386.125,229.875,,,,,,
305,387.75,205.5,,,,,,
306,397.5,173,,,,,,
307,384.5,150.25,,,,,,
308,330.875,137.25,,,,,,
309,316.25,130.75,,,,,,
310,306.5,108,,,,,,
311,259.375,80.375,,,,,,
312,256.125,80.375,,,,,,
313,291.875,116.125,,,,,,
314,326,148.625,,,,,,
